,close,date,high,low,open,volume,RSI_14,sma_7,RSI_Trend,ub,mb,lb,band_diff,band_diff_trend
0,266.5,2020-04-07 09:15:00+05:30,279.95,248.8,255.0,662,0.0,0.0,,,,,,
1,266.45,2020-04-07 09:25:00+05:30,266.5,259.75,266.5,90,0.0,0.0,0.0,,,,,
2,266.4,2020-04-07 09:35:00+05:30,266.5,260.05,260.1,148,0.0,0.0,0.0,,,,,
3,265.7,2020-04-07 09:45:00+05:30,267.0,261.1,263.3,718,0.0,0.0,0.0,,,,,
4,264.5,2020-04-07 09:55:00+05:30,265.45,263.3,265.45,101,0.0,0.0,0.0,,,,,
5,263.6,2020-04-07 10:05:00+05:30,263.6,263.5,263.55,140,0.0,0.0,0.0,,,,,
6,263.55,2020-04-07 10:15:00+05:30,263.6,263.55,263.6,12,0.0,265.24285714285713,0.0,,,,,
7,261.55,2020-04-07 10:25:00+05:30,263.5,261.55,263.5,255,0.0,264.5357142857143,0.0,,,,,
8,262.6,2020-04-07 10:35:00+05:30,262.6,262.6,262.6,2,19.108304371767176,263.98571428571427,19.108304371767176,,,,,
9,262.6,2020-04-07 10:45:00+05:30,262.6,262.6,262.6,0,19.108304371767176,263.4428571428571,0.0,,,,,
10,261.5,2020-04-07 10:55:00+05:30,262.6,261.5,262.6,6,15.50792277634497,262.8428571428571,-3.6003815954222063,,,,,
11,270.0,2020-04-07 11:05:00+05:30,270.0,262.45,263.5,2456,67.09769592375665,263.6285714285714,51.58977314741168,,,,,
12,270.0,2020-04-07 11:15:00+05:30,270.1,270.0,270.1,24,67.09769592375665,264.5428571428571,0.0,,,,,
13,273.65,2020-04-07 11:25:00+05:30,273.65,270.0,270.0,287,74.76976131027297,265.98571428571427,7.672065386516323,,,,,
14,273.25,2020-04-07 11:35:00+05:30,273.65,271.0,273.65,13,72.76725547971259,267.6571428571428,-2.0025058305603807,,,,,
15,275.0,2020-04-07 11:45:00+05:30,275.0,271.0,273.25,378,75.81860456181298,269.4285714285714,3.051349082100387,,,,,
16,280.4,2020-04-07 11:55:00+05:30,283.05,279.0,279.0,3542,82.37945584600364,271.97142857142853,6.560851284190662,,,,,
17,280.1,2020-04-07 12:05:00+05:30,283.2,280.0,280.4,737,81.06357440322105,274.6285714285714,-1.3158814427825831,,,,,
18,280.1,2020-04-07 12:15:00+05:30,280.1,280.1,280.1,112,81.06357440322105,276.0714285714285,0.0,,,,,
